,Movie_names,Release_dates,Ratings,Meta_scores,User_scores
0,Citizen Kane,"September 4, 1941", | Approved,100,8.5
1,The Godfather,"March 11, 1972", | R,100,9.2
2,Rear Window,"September 1, 1954", | TV-G,100,8.8
3,Casablanca,"January 23, 1943", | TV-PG,100,8.9
4,Boyhood,"July 11, 2014", | R,100,7.6
5,Three Colors: Red,"November 23, 1994", | R,100,8.6
6,Vertigo,"May 28, 1958", | PG,100,8.8
7,Notorious,"September 6, 1946", | Approved,100,7.9
8,Singin' in the Rain,"April 11, 1952", | G,99,8.8
9,City Lights,"March 7, 1931", | Passed,99,9.0
10,Moonlight,"October 21, 2016", | Not Rated,99,7.1
11,Intolerance,"September 5, 1916", | Not Rated,99,9.0
12,Pinocchio,"February 23, 1940", | Passed,99,8.2
13,Touch of Evil,"February 1, 1958", | PG-13,99,8.4
14,The Treasure of the Sierra Madre,"January 24, 1948", | TV-PG,98,8.5
15,Pan's Labyrinth,"December 29, 2006", | R,98,8.7
16,Some Like It Hot,"March 29, 1959", | Approved,98,8.3
17,North by Northwest,"August 6, 1959", | TV-G,98,8.2
18,Hoop Dreams,"October 14, 1994", | PG-13,98,8.1
19,Rashomon,"December 26, 1951", | Not Rated,98,8.6
20,All About Eve,"October 27, 1950", | TV-PG,98,8.8
21,Jules and Jim,"April 23, 1962", | Not Rated,97,8.3
22,The Wild Bunch,"June 18, 1969", | R,97,8.0
23,My Left Foot,"March 30, 1990", | R,97,8.5
24,The Third Man,"September 3, 1949", | Approved,97,8.4
25,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"January 29, 1964", | GP,97,8.3
26,Nomadland,"December 4, 2020", | R,97,8.2
27,Gone with the Wind,"January 17, 1940", | TV-PG,97,8.5
28,"4 Months, 3 Weeks and 2 Days","January 23, 2008", | Not Rated,97,8.0
29,Psycho,"September 8, 1960", | M,97,9.1
30,Battleship Potemkin,"December 5, 1926", | Not Rated,97,8.8
31,A Streetcar Named Desire,"September 19, 1951", | M/PG,97,8.4
32,American Graffiti,"August 11, 1973", | PG,97,7.8
33,Dumbo,"October 31, 1941", | Approved,96,8.0
34,Roma,"November 21, 2018", | Not Rated,96,7.8
35,Ran,"December 20, 1985", | R,96,8.5
36,The Shop Around the Corner,"January 12, 1940", | Passed,96,8.5
37,12 Angry Men,"April 1, 1957", | TV-PG,96,9.3
38,Manchester by the Sea,"November 18, 2016", | R,96,8.2
39,Rosemary's Baby,"June 12, 1968", | Approved,96,8.2
40,The Maltese Falcon,"October 18, 1941", | TV-PG,96,7.9
41,12 Years a Slave,"October 18, 2013", | R,96,8.0
42,Killer of Sheep,"March 30, 2007", | Not Rated,96,6.9
43,Rocks,TBA, | Not Rated,96,tbd
44,Nashville,"June 11, 1975", | R,96,8.8
45,Ratatouille,"June 29, 2007", | G,96,8.6
46,Parasite,"October 11, 2019", | Not Rated,96,8.9
47,Don't Look Now,"December 9, 1973", | R,96,8.6
48,The Grapes of Wrath,"March 15, 1940", | Approved,96,8.9
49,Children of Paradise (1945),"March 9, 2012", | Not Rated,96,9.0
50,Mean Streets,"October 14, 1973", | R,96,7.7
51,The Lady Eve,"March 21, 1941", | Passed,96,7.0
52,Gravity,"October 4, 2013", | PG-13,96,7.8
53,Fantasia,"November 13, 1940", | Approved,96,8.5
54,Spirited Away,"September 20, 2002", | PG,96,9.0
55,Beauty and the Beast,"November 22, 1991", | G,95,8.6
56,Small Axe: Lovers Rock,"November 27, 2020", | Not Rated,95,6.2
57,Toy Story,"November 22, 1995", | TV-G,95,9.0
58,The Bride of Frankenstein,"May 6, 1935", | TV-PG,95,8.6
59,The Social Network,"October 1, 2010", | PG-13,95,8.2
60,My Fair Lady,"December 25, 1964", | G,95,8.5
61,Portrait of a Lady on Fire,"December 6, 2019", | R,95,8.7
62,I Am Not Your Negro,"December 9, 2016", | PG-13,95,5.4
63,Woodstock,"March 26, 1970", | R,95,tbd
64,Double Indemnity,"July 6, 1944", | Passed,95,8.4
65,Collective,"November 20, 2020", | Not Rated,95,7.6
66,Snow White and the Seven Dwarfs,"February 4, 1938", | G,95,8.2
67,The Hurt Locker,"June 26, 2009", | R,95,7.3
68,Anatomy of a Murder,"July 1, 1959", | TV-PG,95,8.3
69,Zero Dark Thirty,"December 19, 2012", | R,95,6.9
70,A Separation,"December 30, 2011", | PG-13,95,8.9
71,WALL-E,"June 27, 2008", | G,95,8.9
72,Carol,"November 20, 2015", | R,94,8.0
73,Before Midnight,"May 24, 2013", | R,94,8.3
74,Amour,"December 19, 2012", | PG-13,94,8.1
75,Dunkirk,"July 21, 2017", | PG-13,94,8.3
76,The Man Who Shot Liberty Valance,"April 22, 1962", | Approved,94,8.6
77,The Searchers,"May 26, 1956", | Passed,94,7.6
78,45 Years,"December 23, 2015", | Not Rated,94,7.4
79,Taxi Driver,"February 7, 1976", | R,94,7.5
80,Pulp Fiction,"October 14, 1994", | R,94,9.1
81,The Manchurian Candidate,"October 24, 1962", | Approved,94,8.2
82,Mr. Turner,"December 19, 2014", | R,94,6.9
83,The Irishman,"November 1, 2019", | R,94,8.1
84,Grave of the Fireflies (1988),"July 26, 1989", | TV-14,94,9.3
85,The Wild Child,"September 11, 1970", | G,94,tbd
86,Amazing Grace,"November 23, 2018", | G,94,8.4
87,Shadow of a Doubt,"January 15, 1943", | TV-PG,94,8.5
88,Inside Out,"June 19, 2015", | PG,94,8.7
89,Sideways,"October 22, 2004", | R,94,7.1
90,Schindler's List,"December 15, 1993", | R,94,8.8
91,Meet Me in St. Louis,"January 1, 1945", | Passed,94,tbd
92,The Apartment,"June 15, 1960", | TV-PG,94,9.1
93,Apocalypse Now,"August 15, 1979", | R,94,8.9
94,The Gunfighter,"June 23, 1950", | TV-PG,94,7.9
95,We Were Here,"September 9, 2011", | Not Rated,94,6.9
96,Lady Bird,"November 3, 2017", | R,94,7.6
97,Chimes at Midnight,"March 17, 1967", | Not Rated,94,tbd
98,The Lord of the Rings: The Return of the King,"December 17, 2003", | PG-13,94,9.1
99,Carlos,"October 15, 2010", | Not Rated,94,7.9
100,Bringing Up Baby,"February 18, 1938", | TV-G,91,7.6
101,No Country for Old Men,"November 9, 2007", | R,91,7.8
102,The Gatekeepers,"February 1, 2013", | PG-13,91,6.7
103,Nostalgia for the Light,"March 18, 2011", | Not Rated,91,7.9
104,David Copperfield,"January 18, 1935", | Passed,91,tbd
105,Saving Private Ryan,"July 24, 1998", | TV-MA,91,8.9
106,After Hours,"September 13, 1985", | R,90,7.9
107,Her,"December 18, 2013", | R,90,8.6
108,The Crying Game,"November 25, 1992", | R,90,7.7
109,Great Expectations,"May 22, 1947", | Approved,90,tbd
110,Burning,"October 26, 2018", | Not Rated,90,7.8
111,Winter's Bone,"June 11, 2010", | R,90,7.3
112,Gett: The Trial of Viviane Amsalem,"February 13, 2015", | Not Rated,90,7.6
113,I Called Him Morgan,"March 24, 2017", | Not Rated,90,6.7
114,Close Encounters of the Third Kind,"November 16, 1977", | PG,90,7.8
115,The Godfather: Part II,"December 12, 1974", | R,90,9.0
116,The Hustler,"September 25, 1961", | TV-PG,90,8.9
117,L.A. Confidential,"September 19, 1997", | TV-MA,90,8.9
118,Bloody Sunday,"October 4, 2002", | R,90,8.5
119,My Voyage to Italy,"October 19, 2001", | PG-13,90,7.1
120,Phantom Thread,"December 25, 2017", | R,90,7.7
121,Gunda,"December 11, 2020", | G,90,tbd
122,Goodfellas,"September 1, 1990", | R,90,8.9
123,Hamilton,"July 3, 2020", | PG-13,90,7.8
124,Paths of the Soul,"May 13, 2016", | Not Rated,90,5.3
125,It's Such a Beautiful Day,"October 5, 2012", | Not Rated,90,8.9
126,My Perestroika,"March 23, 2011", | Not Rated,90,7.3
127,This Is Not a Film,"March 2, 2012", | Not Rated,90,6.3
128,The Birds,"March 29, 1963", | PG-13,90,8.3
129,Finding Nemo,"May 30, 2003", | G,90,8.7
130,Topsy-Turvy,"December 17, 1999", | R,90,7.9
131,Samurai Rebellion,"December 1, 1967", | Not Rated,90,tbd
132,King Kong,"April 7, 1933", | Passed,90,8.4
133,The Incredibles,"November 5, 2004", | PG,90,8.8
134,Before Sunset,"July 2, 2004", | R,90,8.7
135,Being John Malkovich,"October 29, 1999", | R,90,8.8
136,A Prophet,"February 26, 2010", | R,90,8.5
137,Hard to Be a God,"January 30, 2015", | Not Rated,90,5.4
138,Almost Famous,"September 13, 2000", | Unrated,90,6.9
